CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
63998931;63998931;ARMARIO 02;3;0;ABB;VENTILADOR;;;;5;2;O
64650424;64650424;ARMARIO 02;1;;ABB;;;;;2;1;
68257662;68257662;ARMARIO 01;0;0;ABB;;;;;3;3;
68569354;;ARMARIO 01;4;0;ABB;;;;;4;0;
100C09C200;100C09C200;F 34;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
100C09EJ10;100C09EJ10;F 34;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
100C16DJ10;100C16DJ10;F 34;0;0;ALLEN BRADLEY;;1- Fora da cx.;#N/D;;0;0;
100C23D10;100C23D10;F;1;0;ALLEN BRADLEY;;1- Fora da cx.;#N/D;;1;0;
100C23DJ10;100C23DJ10;F 34;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
100C23EJ10;100C23EJ10;F 34;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
100C23ZJ10;100C23ZJ10;F 34;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
100C30D10;100C30D10;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
100C30DJ10;100C30DJ10;F 34;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
100C37DJ10;100C37DJ10;F 34;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
100C43D00;100C43D00;F 34;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
100C72KF00;100C72KF00;F 34;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
100C85D10;100C85D10;F 34;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
100C85KB10;100C85KB10;F 31;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
100D210EA11;100D210EA11;F 35;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
100D860;100D860;F 34;0;0;ALLEN BRADLEY;;CAIXA DANIFICADA;#N/D;;0;0;
100DC110;100DC110;F 34;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
100DNY41R;100DNY41R;F 36;5;0;ALLEN BRADLEY;;;#N/D;;5;0;
100DS111;100DS111;F 34;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
